prijmeni	jmeno	id	pspcr	wiki	personal
Fajmon	Hynek	id_0133	http://www.psp.cz/sqw/detail.sqw?id=5213&o=4		
Faltýnek	Jaroslav	id_0134	https://www.psp.cz/sqw/detail.sqw?id=6190	https://cs.wikipedia.org/wiki/Jaroslav_Falt%C3%BDnek	
Farský	Jan	id_0135	https://www.psp.cz/sqw/detail.sqw?id=5909	https://cs.wikipedia.org/wiki/Jan_Farsk%C3%BD	https://www.facebook.com/farskyjansemily/
Fiala	Jaroslav	id_0136	http://www.psp.cz/sqw/detail.sqw?id=5458&o=5		
Fiala	Petr	id_0137	https://www.psp.cz/sqw/detail.sqw?id=6074	https://cs.wikipedia.org/wiki/Petr_Fiala_(politik)	http://pfiala.cz/
Fiala	Radim	id_0138	https://www.psp.cz/sqw/detail.sqw?id=5459	https://cs.wikipedia.org/wiki/Radim_Fiala_(politik)	https://twitter.com/RadimFialacz
Fialová	Jiřina	id_0139	http://www.psp.cz/sqw/detail.sqw?id=5267&o=5		
Fiedler	Karel	id_0140	https://www.psp.cz/sqw/detail.sqw?id=6191		
Fichtner	Matěj	id_0141	https://www.psp.cz/sqw/detail.sqw?id=6192		
Filip	Vojtěch	id_0142	https://www.psp.cz/sqw/detail.sqw?id=303	https://cs.wikipedia.org/wiki/Vojt%C4%9Bch_Filip	https://twitter.com/vojtafilip?lang=cs
Filipi	Dana	id_0143	http://www.psp.cz/sqw/detail.sqw?id=5460&o=6		
Fischer	Stanislav	id_0144	http://www.psp.cz/sqw/detail.sqw?id=5460&o=6		
Fischerová	Eva	id_0145	http://www.psp.cz/sqw/detail.sqw?id=35&o=3		
Fischerová	Jana	id_0146	https://www.psp.cz/sqw/detail.sqw?id=5990		
Fischerová	Táňa	id_0147	http://www.psp.cz/sqw/detail.sqw?id=5325&o=4	https://cs.wikipedia.org/wiki/Ta%C5%A5ana_Fischerov%C3%A1	https://twitter.com/tanafis?lang=cs
Florián	Jan	id_0148	http://www.psp.cz/sqw/detail.sqw?id=5910&o=6		
Fójcik	Vavřinec	id_0149	http://www.psp.cz/sqw/detail.sqw?id=259&o=2		
Foldyna	Jaroslav	id_0150	https://www.psp.cz/sqw/detail.sqw?id=5911	https://cs.wikipedia.org/wiki/Jaroslav_Foldyna	https://twitter.com/FoldynaJaroslav?lang=cs
Frank	Václav	id_0151	http://www.psp.cz/sqw/detail.sqw?id=36&o=4		
Frankl	Michal	id_0152	http://www.psp.cz/sqw/detail.sqw?id=260&o=2		
